st_vlaka,st_prestopi,id_mesta_zacetek,id_mesta_konec
1,0,1,3
2,1,1,3
3,0,1,3
4,0,3,1
5,1,3,1
6,0,3,1
7,1,1,2
8,1,1,2
9,0,1,2
10,1,1,2
11,1,1,2
12,1,1,2
13,0,2,1
14,1,2,1
15,1,2,1
16,1,2,1
17,1,2,1
18,1,2,1
19,1,1,4
20,0,1,4
21,1,1,4
22,1,4,1
23,0,4,1
24,1,4,1
25,0,1,5
26,0,5,1
27,1,1,6
28,0,1,6
29,1,1,6
30,1,6,1
31,0,6,1
32,1,6,1
33,0,1,7
34,0,7,1
35,0,1,8
36,0,1,8
37,0,1,8
38,0,8,1
39,0,8,1
40,0,8,1
41,0,1,9
42,0,1,9
43,0,9,1
44,0,9,1
45,0,1,10
46,0,1,10
47,0,10,1
48,0,10,1
49,0,1,11
50,0,11,1
51,1,1,11
52,1,1,11
53,1,11,1
54,1,11,1
55,0,1,12
56,0,12,1
57,0,1,13
58,0,13,1
59,0,1,13
60,0,13,1
